Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,,,,,,,,,,,,
J83003,Harcourt Medical Centre,Crane Bridge Road,,,Salisbury,Wiltshire,SP2 7TD,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81030001,Harptree Surgery: Cameley Surgery,Wells Road,Temple Cloud,,Bristol,Avon,BS39 5BW,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
RVNAG,Hathaway Branch Surgery,32 New Road,,,Chippenham,Wiltshire,SN15 1HP,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83007001,Hathaway Medical Centre: New Road Surgery,32 New Road,,,Chippenham,Wiltshire,SN15 1HP,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83007,Hathaway Surgery,Middlefield Road,,,Chippenham,Wiltshire,SN14 6GT,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83027,Hawthorn Medical Centre,May Close,Cricklade Road,,Swindon,Wiltshire,SN2 1UU,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81039,Heart of Bath,Oldfield Surgery,45 Upper Oldfield Park,,Bath,Avon,BA2 3HT,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81039002,Heart of Bath: Junction Road Surgery,8 Junction Road,,,Bath,Avon,BA2 3NQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81039001,Heart of Bath: St James's Surgery,8-9 Northampton Buildings,,,Bath,Avon,BA1 2SR,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81123,Hillcrest Surgery,Wellow Lane,Peasedown-St-John,,Bath,Avon,BA2 8JQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83630,Hindon Surgery,High Street,Hindon,,Salisbury,Wiltshire,SP3 6DJ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81010,Hope House Surgery,Hope House Centre,10 Waterloo Road,Radstock,Bath,,BA3 3EP,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83603,Jubilee Field Surgery,The Street,Yatton Keynell,,Chippenham,Wiltshire,SN14 7EJ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83037,Kennet and Avon Medical Partnership,Marlborough Surgery,George Lane,,Marlborough,Wiltshire,SN8 4BY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83037002,Kennet and Avon Medical Partnership: Pewsey Surgery,High Street,,,Pewsey,Wiltshire,SN9 5AQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83038,Kingswood Surgery,Kingswood Avenue,Park North,,Swindon,Wiltshire,SN3 2RJ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
O9F4T,Kingswood Surgery: Carfax Medical Centre,1 Islington Street,,,Swindon,Wiltshire,SN1 2DQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83633002,Lakeside Practice,Colingsmead,,,Swindon,Wiltshire,SN3 3TQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83034,Lansdowne Surgery,Waiblingen Way,,,Devizes,Wiltshire,SN10 2BU,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83625,Lodge Surgery,Lodge Road,,,Chippenham,Wiltshire,SN15 3SY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83008,Lovemead Group Practice,Roundstone Surgery,Polebarn Circus,,Trowbridge,Wiltshire,BA14 7EH,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83041,Malmesbury Medical Partnership,Priory Way,,,Malmesbury,Wiltshire,SN16 0FB,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83056,Market Lavington Surgery,The High Street,Market Lavington,,Devizes,Wiltshire,SN10 4AQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83056001,Market Lavington Surgery: Urchfont Surgery,Urchfont Village Hall,Peppercombe Lane,,Urchfont,Wiltshire,SN10 4QR,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83060,Mere Surgery,Dark Lane,Mere,Mere,Warminster,Wiltshire,BA12 6DT,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83052002,Millstream Medical Centre: Larkhill Medical Centre,Larkhill,,,Salisbury,Wiltshire,SP4 8QY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
Z4W8L,Moredon Medical Centre,Moredon Road,,,Swindon,Wiltshire,SN2 2JG,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83055,New Court Surgery,Borough Fields,Royal Wootton Bassett,,Swindon,Wiltshire,SN4 7AX,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81070,Newbridge Surgery,129 Newbridge Hill,,,Bath,Avon,BA1 3PT,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83057,North Swindon Practice,Home Ground Surgery,Thames Avenue,Haydon Wick,Swindon,Wiltshire,SN25 1QQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83039,Northlands Surgery,North Street,,,Calne,Wiltshire,SN11 0HH,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83615,Old School House Surgery,Church Street,Great Bedwyn,,Marlborough,Wiltshire,SN8 3PF,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83022,Old Town Surgery,Curie Avenue,Okus,,Swindon,Wiltshire,SN1 4GB,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83646,Park Lane Practice,7-9 Park Lane,,,Swindon,Wiltshire,SN1 5HG,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83050,Patford House Surgery Partnership,Patford House Surgery,8A Patford Street,,Calne,Wiltshire,SN11 0EF,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83050002,Patford House Surgery Partnership: Beversbrook Medical Centre,Harrier Close,,,Calne,Wiltshire,SN11 9UT,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83050001,Patford House Surgery Partnership: Sutton Benger Surgery,Chestnut Road,Sutton Benger,,Chippenham,Wiltshire,SN15 4RP,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83645,Phoenix Surgery,Dunwich Drive,Toothill,,Swindon,Wiltshire,SN5 8SX,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83010,Porch Surgery,Beechfield Road,,,Corsham,Wiltshire,SN13 9DL,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83006,Purton Surgery,High Street,Purton,,Swindon,Wiltshire,SN5 4BD,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83006001,Purton Surgery: Green Gable Surgery,38A The High Street,,,Cricklade,Wiltshire,SN6 6AY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83045,Ramsbury Surgery,Whittonditch Road,Ramsbury,,Marlborough,Wiltshire,SN8 2QT,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83045001,Ramsbury Surgery: Wanborough Surgery,3-5 Ham Road,Wanborough,,Swindon,Wiltshire,SN4 0DF,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83064,Ridge Green Medical Practice,Ramleaze Drive,Shaw,,Swindon,Wiltshire,SN5 5PX,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83064001,Ridge Green Medical Practice: The Freshbrook Surgery,Village Centre,Freshbrook,,Swindon,Wiltshire,SN5 8LY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
RN3H8,Ridgegreen Medical Centre,Ramleaze Drive,Shaw,,Swindon,Wiltshire,SN5 5PX,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83009,Ridgeway View Family Practice,Wroughton Health Centre,Barrett Way,Wroughton,Swindon,Wiltshire,SN4 9LW,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83009001,Ridgeway View Family Practice: Station House Surgery,Station Road,Chiseldon,,Swindon,Wiltshire,SN4 0PW,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83042,Rowden Surgery,Rowden Hill,,,Chippenham,Wiltshire,SN15 2SB,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81644,Rush Hill Surgery,20 Rush Hill,,,Bath,Avon,BA2 2QH,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83021003,Salisbury Medical Practice: Bemerton Heath Surgery,Pembroke Road,,,Salisbury,Wiltshire,SP2 9DJ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83021002,Salisbury Medical Practice: Bishopdown Surgery,28 St. Clements Way,Bishopdow,,Salisbury,Wiltshire,SP1 3FF,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83021004,Salisbury Medical Practice: Wilton Health Centre,Market Place,Wilton,,Salisbury,Wiltshire,SP2 0HT,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81045001,Saltford Surgery,Saltford Clinic,495 Bath Road,Saltford,Bristol,Avon,BS31 3HQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83052,Sarum Health Group,Millstream Medical Centre,Millstream House,Avon Approach,Salisbury,Wiltshire,SP1 3SL,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83629,Silton Surgery,Silton Road,Silton,,Gillingham,Dorset,SP8 5DF,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J81083,Sixpenny Handley Surgery,Dean Lane,Sixpenny Handley,,Salisbury,Wiltshire,SP5 5PA,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J81083001,Sixpenny Handley: Broadchalke Surgery,Doves Meadow,Broadchalke,,Salisbury,Wiltshire,SP5 5EL,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81025,Somer Valley Medical Group,St.Chad's Surgery,Gullock Tyning,,Midsomer Norton,Avon,BA3 2UH,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
W6P8Z,Somerton House Surgery,79a North Road,Midsomer Norton,,Radstock,Avon,BA3 2QE,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83049,Southbroom Surgery,15 Estcourt Street,The Green,,Devizes,Wiltshire,SN10 1LQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83046,Spa Medical Centre,Snowberry Lane,,,Melksham,Wiltshire,SN12 6UN,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
Y03671,Sparcells Surgery,Midwinter Close,Peatmoor,,Swindon,Wiltshire,SN5 5AN,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81045,St Augustine's Medical Practice,Block C,The Chocolate Factory,Via Traversus,Keynsham,Bristol,BS31 2GN,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83048,St Melor House Surgery,Edwards Road,,,Amesbury,Wiltshire,SP4 7LT,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81025001,St. Chads Surgery: Chilcompton Surgery,Carters Way,Chilcompton,,Radstock,Avon,BA3 4XH,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83053,St. James Surgery,Gains Lane,,,Devizes,Wiltshire,SN10 1QU,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81122,St. Mary's Surgery,St. Mary's Close,Timsbury,,Bath,Avon,BA2 0HX,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81069,St. Michael's Surgery,Walwyn Close,Twerton-on-Avon,,Bath,Avon,BA2 1ER,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81069001,St. Michael's Surgery: The Beehive Surgery,Mount Road,Southdown,,Bath,Avon,BA2 1NH,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
D3V0S,Tadpole Surgery,Unit 1,William Morris Way,Tadpole Garden Village,Swindon,Wiltshire,SN25 2PP,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81064,Temple House Practice,St Clements Road,Keynsham,,Bristol,Avon,BS31 1AF,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83018001,The Avenue Surgery: Station Road Surgery,28 Station Road,,,Warminster,Wiltshire,BA12 9BR,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
RN3G9,The Lawn Medical Centre,Guildford Avenue,,,Swindon,Wiltshire,SN3 1JL,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83019,The Orchard Partnership,Old Orchard Surgery,South Street,Wilton,Salisbury,Wiltshire,SP2 0JU,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83019001,The Orchard Partnership: Cherry Orchard Surgery,Codford,,,Warminster,Wiltshire,BA12 0PN,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83019002,The Orchard Partnership: Spring Orchard Surgery,High Street,Fovant,,Salisbury,Wiltshire,SP3 5JL,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83019003,The Orchard Partnership: Till Orchard Surgery,High Street,Shrewton,,Salisbury,Wiltshire,SP3 4BZ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81068,The Pulteney Practice,Pulteney Street Surgery,35 Great Pulteney Street,,Bath,Avon,BA2 4BY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81068001,The Pulteney Practice: Bathampton Surgery,Holcombe Lane,Bathampton,,Bath,Avon,BA2 6UL,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81073001,The Surgery,Severn Way,,Keynsham,Bristol,Avon,BS31 2NU,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83618,The Tolsey Surgery,High Street,Sherston,,Malmesbury,Wiltshire,SN16 0LQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83026,Three Chequers Medical Practice,72 Endless Street,,,Salisbury,Wiltshire,SP1 3UH,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83026004,Three Chequers Medical Practice: Porton Surgery,32 Winterslow Road,Porton,,Salisbury,Wiltshire,SP4 0LR,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83026001,Three Chequers Medical Practice: The Winterslow Surgery,Middleton Road,Winterslow,,Salisbury,Wiltshire,SP5 1PQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83026003,Three Chequers Medical Practice: Three Swans Surgery,Rollestone Street,,,Salisbury,Wiltshire,SP1 1DX,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83058,Tisbury Surgery,Park Road,Tisbury,,Salisbury,Wiltshire,SP3 6LF,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83016,Trowbridge Health Centre,Trowbridge Health Centre,Hammersmith Fields,,Trowbridge,Wiltshire,BA14 8LW,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83016002,Trowbridge Health Centre: Widbrook Medical Practice,72 Wingfield Road,,,Trowbridge,Wiltshire,BA14 9EN,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81617,University Medical Centre,Quarry House,North Road,,Bath,Avon,BA2 7AY,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83633,Victoria Cross Surgery,168-169 Victoria Road,,,Swindon,Wiltshire,SN1 3BU,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81073,West View Surgery,9 Park Road,Keynsham,,Bristol,Avon,BS31 1BX,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83040,Westbury Group Practice,White Horse Health Centre,Mane Way,Leigh Park,Westbury,Wiltshire,BA13 3FQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83040001,Westbury Group Practice: Bratton Surgery,The Tynnings,Bratton,,Westbury,Wiltshire,BA13 4RR,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
L81132,Westfield Surgery,Waterford Park,Radstock,,Bath,Avon,BA3 3UJ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
D1C2U,Weston Surgery,36 Combe Park,,,Bath,Avon,BA1 3NR,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83002,Westrop Medical Practice,Westrop Surgery,Newburgh Place,Highworth,Swindon,Wiltshire,SN6 7DN,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83002001,Westrop Medical Practice: Blunsdon Surgery,36 Berton Close,Blunsdon,,Swindon,Wiltshire,SN26 7BE,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83002002,Westrop Medical Practice: Hermitage Surgery,Dammas Lane,,,Swindon,Wiltshire,SN1 3EF,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
E3K8O,Westrop Medical Practice: Tadpole Surgery,William Morris Way,Tadpole Garden Village,,Swindon,Wiltshire,SN25 2PP,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
J83033,Whalebridge Practice,Swindon NHS Health Centre,1 Islington Street,,Swindon,Wiltshire,SN1 2DQ,General Practice,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",,,,,,,,,,,,
