lsoa21cd,lsoa21nm,ICB23NM,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01033288,"Bournemouth, Christchurch and Poole 040D",NHS Dorset Integrated Care Board,1227.51,55.89,24.84,16.56,25.87,72.45,113.85,126.27,117.99,79.69,75.55,75.55,76.59,61.06,74.52,74.52,59.0,35.19,62.1
E01033283,"Bournemouth, Christchurch and Poole 037E",NHS Dorset Integrated Care Board,1239.93,51.75,35.19,26.91,17.6,67.27,92.12,105.57,131.44,94.18,61.06,76.59,80.73,76.59,72.45,71.41,51.75,44.5,82.8
E01015297,"Bournemouth, Christchurch and Poole 036B",NHS Dorset Integrated Care Board,1556.64,36.22,76.59,54.86,56.92,43.47,61.06,81.76,85.9,97.29,108.68,99.36,94.18,98.32,83.84,119.02,98.32,77.62,183.2
E01015366,"Bournemouth, Christchurch and Poole 036E",NHS Dorset Integrated Care Board,1868.18,45.54,43.47,54.86,65.2,102.46,119.02,120.06,121.09,109.71,95.22,129.38,139.72,115.92,129.38,158.35,95.22,106.6,116.95
E01033241,"Bournemouth, Christchurch and Poole 037D",NHS Dorset Integrated Care Board,1136.43,51.75,34.15,22.77,15.52,86.94,111.78,124.2,107.64,91.08,69.34,91.08,74.52,44.5,50.72,51.75,42.43,31.05,35.19
E01015272,"Bournemouth, Christchurch and Poole 035A",NHS Dorset Integrated Care Board,1939.59,71.41,99.36,104.54,109.71,78.66,104.54,85.9,113.85,126.27,111.78,115.92,141.79,132.48,130.41,130.41,104.54,68.31,109.71
E01015280,"Bournemouth, Christchurch and Poole 037B",NHS Dorset Integrated Care Board,2218.0,145.94,114.88,101.43,53.82,138.69,215.28,239.08,241.15,191.48,171.81,139.72,125.23,100.4,83.84,61.06,31.05,30.01,33.12
E01015279,"Bournemouth, Christchurch and Poole 037A",NHS Dorset Integrated Care Board,1994.44,96.26,95.22,84.87,60.03,164.56,198.72,226.66,214.24,145.94,163.53,143.86,130.41,92.12,57.96,46.58,24.84,17.6,31.05
E01034276,"Bournemouth, Christchurch and Poole 037G",NHS Dorset Integrated Care Board,1118.83,52.78,59.0,38.29,40.36,117.99,122.13,124.2,93.15,105.57,74.52,81.76,83.84,38.29,34.15,28.98,14.49,8.28,1.03
E01015365,"Bournemouth, Christchurch and Poole 036D",NHS Dorset Integrated Care Board,1686.02,74.52,78.66,101.43,55.89,130.41,121.09,130.41,135.58,129.38,112.82,126.27,143.86,92.12,80.73,72.45,42.43,31.05,26.91
E01015300,"Bournemouth, Christchurch and Poole 039E",NHS Dorset Integrated Care Board,1657.04,64.17,93.15,93.15,95.22,57.96,67.27,68.31,106.6,94.18,123.16,134.55,111.78,94.18,120.06,122.13,89.01,60.03,62.1
E01034275,"Bournemouth, Christchurch and Poole 037F",NHS Dorset Integrated Care Board,1146.78,74.52,41.4,49.68,28.98,65.2,89.01,120.06,121.09,101.43,99.36,96.26,76.59,64.17,49.68,36.22,19.66,8.28,5.18
E01015274,"Bournemouth, Christchurch and Poole 036A",NHS Dorset Integrated Care Board,1948.9,96.26,96.26,90.04,75.55,125.23,120.06,119.02,153.18,156.28,155.25,148.0,153.18,105.57,98.32,79.69,63.14,51.75,62.1
E01015275,"Bournemouth, Christchurch and Poole 035C",NHS Dorset Integrated Care Board,1732.59,66.24,86.94,95.22,62.1,163.53,128.34,136.62,125.23,130.41,112.82,117.99,111.78,106.6,86.94,83.84,50.72,28.98,38.29
E01015364,"Bournemouth, Christchurch and Poole 036C",NHS Dorset Integrated Care Board,1750.18,73.48,111.78,106.6,83.84,70.38,43.47,89.01,103.5,138.69,126.27,108.68,135.58,115.92,115.92,150.07,71.41,51.75,53.82
E01015281,"Bournemouth, Christchurch and Poole 037C",NHS Dorset Integrated Care Board,1886.8,89.01,100.4,98.32,95.22,121.09,125.23,182.16,165.6,156.28,156.28,126.27,150.07,110.74,81.76,57.96,35.19,15.52,19.66
E01015277,"Bournemouth, Christchurch and Poole 035E",NHS Dorset Integrated Care Board,2080.35,150.07,130.41,132.48,104.54,145.94,135.58,157.32,221.49,171.81,143.86,127.3,128.34,98.32,71.41,67.27,48.64,24.84,20.7
E01015273,"Bournemouth, Christchurch and Poole 035B",NHS Dorset Integrated Care Board,2241.81,133.51,128.34,123.16,126.27,172.84,198.72,176.98,187.33,175.95,168.7,146.97,146.97,116.95,65.2,86.94,37.26,26.91,22.77
E01015363,"Bournemouth, Christchurch and Poole 026E",NHS Dorset Integrated Care Board,1767.78,109.71,133.51,129.38,86.94,69.34,104.54,123.16,136.62,186.3,158.35,129.38,96.26,84.87,66.24,62.1,37.26,35.19,18.63
E01015299,"Bournemouth, Christchurch and Poole 039D",NHS Dorset Integrated Care Board,1863.0,74.52,132.48,101.43,71.41,73.48,67.27,89.01,120.06,134.55,144.9,113.85,106.6,130.41,113.85,109.71,100.4,71.41,107.64
E01015293,"Bournemouth, Christchurch and Poole 025B",NHS Dorset Integrated Care Board,1667.38,102.46,102.46,109.71,92.12,120.06,149.04,134.55,135.58,132.48,105.57,125.23,121.09,60.03,52.78,46.58,37.26,19.66,20.7
E01015461,"Bournemouth, Christchurch and Poole 043C",NHS Dorset Integrated Care Board,1709.82,99.36,92.12,107.64,80.73,107.64,140.76,159.39,129.38,122.13,135.58,126.27,106.6,79.69,64.17,52.78,34.15,28.98,42.43
E01015386,"Bournemouth, Christchurch and Poole 029A",NHS Dorset Integrated Care Board,1734.66,91.08,111.78,68.31,65.2,94.18,143.86,137.66,142.83,113.85,106.6,119.02,124.2,101.43,83.84,79.69,67.27,37.26,46.58
E01015460,"Bournemouth, Christchurch and Poole 043B",NHS Dorset Integrated Care Board,1926.13,124.2,143.86,148.0,107.64,98.32,145.94,141.79,176.98,153.18,162.49,127.3,95.22,83.84,44.5,67.27,35.19,37.26,33.12
E01015456,"Bournemouth, Christchurch and Poole 030D",NHS Dorset Integrated Care Board,1882.66,81.76,86.94,120.06,93.15,89.01,132.48,119.02,115.92,97.29,125.23,154.21,137.66,106.6,106.6,103.5,56.92,79.69,76.59
E01015457,"Bournemouth, Christchurch and Poole 030E",NHS Dorset Integrated Care Board,1935.45,82.8,75.55,99.36,75.55,73.48,115.92,127.3,103.5,123.16,140.76,130.41,136.62,110.74,127.3,154.21,108.68,76.59,73.48
E01015445,"Bournemouth, Christchurch and Poole 034A",NHS Dorset Integrated Care Board,1971.68,82.8,89.01,117.99,100.4,91.08,96.26,95.22,117.99,116.95,138.69,145.94,168.7,137.66,130.41,133.51,87.98,65.2,55.89
E01015390,"Bournemouth, Christchurch and Poole 032A",NHS Dorset Integrated Care Board,1767.78,111.78,124.2,102.46,72.45,90.04,116.95,167.67,162.49,139.72,101.43,134.55,112.82,89.01,73.48,57.96,51.75,28.98,30.01
E01015441,"Bournemouth, Christchurch and Poole 023C",NHS Dorset Integrated Care Board,2053.44,138.69,92.12,109.71,87.98,121.09,140.76,164.56,168.7,103.5,129.38,163.53,139.72,120.06,94.18,95.22,91.08,47.61,45.54
E01015394,"Bournemouth, Christchurch and Poole 032E",NHS Dorset Integrated Care Board,1708.78,90.04,110.74,109.71,84.87,71.41,111.78,107.64,125.23,146.97,123.16,132.48,131.44,95.22,80.73,68.31,55.89,39.33,23.8
E01015391,"Bournemouth, Christchurch and Poole 032B",NHS Dorset Integrated Care Board,1506.96,87.98,72.45,75.55,64.17,64.17,63.14,119.02,97.29,116.95,111.78,105.57,120.06,96.26,75.55,95.22,56.92,47.61,37.26
E01034271,"Bournemouth, Christchurch and Poole 038E",NHS Dorset Integrated Care Board,2879.37,19.66,12.42,6.21,1424.16,719.32,190.44,87.98,39.33,48.64,40.36,36.22,26.91,27.94,46.58,45.54,38.29,24.84,44.5
E01015286,"Bournemouth, Christchurch and Poole 038A",NHS Dorset Integrated Care Board,2082.42,80.73,60.03,39.33,44.5,103.5,173.88,180.09,159.39,127.3,116.95,117.99,123.16,136.62,129.38,179.05,123.16,87.98,99.36
E01015288,"Bournemouth, Christchurch and Poole 041A",NHS Dorset Integrated Care Board,2110.36,123.16,139.72,103.5,84.87,258.75,261.85,221.49,193.54,130.41,131.44,109.71,90.04,84.87,52.78,59.0,39.33,15.52,10.35
E01015344,"Bournemouth, Christchurch and Poole 028A",NHS Dorset Integrated Care Board,1932.34,71.41,92.12,103.5,95.22,92.12,104.54,91.08,109.71,134.55,113.85,126.27,142.83,143.86,132.48,126.27,112.82,60.03,79.69
E01015328,"Bournemouth, Christchurch and Poole 038B",NHS Dorset Integrated Care Board,2038.95,96.26,94.18,67.27,59.0,175.95,196.65,212.18,185.26,138.69,116.95,107.64,107.64,99.36,124.2,86.94,61.06,50.72,59.0
E01015389,"Bournemouth, Christchurch and Poole 029D",NHS Dorset Integrated Care Board,1487.29,49.68,57.96,61.06,56.92,76.59,78.66,126.27,107.64,111.78,89.01,122.13,113.85,86.94,97.29,99.36,64.17,42.43,45.54
E01015294,"Bournemouth, Christchurch and Poole 025C",NHS Dorset Integrated Care Board,2200.41,126.27,153.18,134.55,134.55,162.49,211.14,237.02,193.54,193.54,165.6,141.79,129.38,73.48,47.61,39.33,20.7,24.84,11.38
E01015327,"Bournemouth, Christchurch and Poole 025D",NHS Dorset Integrated Care Board,2200.41,134.55,130.41,129.38,117.99,269.1,190.44,201.82,224.59,149.04,140.76,130.41,107.64,92.12,50.72,54.86,35.19,21.74,19.66
E01015345,"Bournemouth, Christchurch and Poole 027C",NHS Dorset Integrated Care Board,1967.54,83.84,80.73,87.98,126.27,326.02,160.42,154.21,140.76,127.3,117.99,122.13,120.06,97.29,53.82,46.58,34.15,40.36,47.61
E01015326,"Bournemouth, Christchurch and Poole 027A",NHS Dorset Integrated Care Board,2009.97,103.5,86.94,93.15,130.41,193.54,179.05,199.76,160.42,170.77,130.41,128.34,107.64,89.01,64.17,68.31,45.54,32.08,26.91
E01015393,"Bournemouth, Christchurch and Poole 032D",NHS Dorset Integrated Care Board,1348.6,76.59,82.8,74.52,70.38,74.52,104.54,119.02,120.06,77.62,93.15,100.4,81.76,70.38,71.41,55.89,35.19,19.66,20.7
E01015392,"Bournemouth, Christchurch and Poole 032C",NHS Dorset Integrated Care Board,1528.7,85.9,83.84,79.69,54.86,59.0,106.6,117.99,112.82,126.27,85.9,128.34,101.43,98.32,83.84,79.69,50.72,33.12,40.36
E01015438,"Bournemouth, Christchurch and Poole 023A",NHS Dorset Integrated Care Board,1640.48,111.78,104.54,81.76,74.52,60.03,83.84,138.69,122.13,117.99,99.36,131.44,119.02,98.32,85.9,83.84,54.86,33.12,39.33
E01015447,"Bournemouth, Christchurch and Poole 030B",NHS Dorset Integrated Care Board,1780.2,63.14,80.73,116.95,93.15,61.06,80.73,78.66,97.29,122.13,115.92,137.66,135.58,125.23,96.26,116.95,100.4,65.2,93.15
E01015451,"Bournemouth, Christchurch and Poole 034E",NHS Dorset Integrated Care Board,1632.2,71.41,84.87,87.98,57.96,78.66,69.34,87.98,98.32,73.48,116.95,114.88,127.3,114.88,103.5,124.2,100.4,71.41,48.64
E01015449,"Bournemouth, Christchurch and Poole 030C",NHS Dorset Integrated Care Board,1841.26,101.43,128.34,105.57,93.15,125.23,127.3,114.88,122.13,127.3,127.3,154.21,123.16,115.92,67.27,67.27,53.82,47.61,39.33
E01015385,"Bournemouth, Christchurch and Poole 022F",NHS Dorset Integrated Care Board,1853.68,117.99,119.02,100.4,78.66,98.32,102.46,113.85,109.71,102.46,98.32,137.66,114.88,116.95,112.82,108.68,96.26,81.76,43.47
E01015439,"Bournemouth, Christchurch and Poole 023B",NHS Dorset Integrated Care Board,1901.29,114.88,128.34,119.02,113.85,96.26,126.27,142.83,146.97,136.62,149.04,144.9,128.34,96.26,75.55,73.48,48.64,32.08,27.94
E01015444,"Bournemouth, Christchurch and Poole 023F",NHS Dorset Integrated Care Board,1791.58,99.36,101.43,87.98,93.15,78.66,146.97,150.07,123.16,130.41,123.16,132.48,139.72,93.15,74.52,74.52,71.41,40.36,31.05
E01015440,"Bournemouth, Christchurch and Poole 030A",NHS Dorset Integrated Care Board,2187.99,134.55,120.06,130.41,107.64,91.08,137.66,178.02,141.79,158.35,152.14,176.98,144.9,117.99,96.26,95.22,89.01,63.14,52.78
E01015276,"Bournemouth, Christchurch and Poole 035D",NHS Dorset Integrated Care Board,1851.61,129.38,157.32,109.71,107.64,97.29,104.54,149.04,159.39,161.46,125.23,140.76,106.6,82.8,78.66,55.89,38.29,21.74,25.87
E01015361,"Bournemouth, Christchurch and Poole 026C",NHS Dorset Integrated Care Board,1442.79,83.84,103.5,99.36,86.94,63.14,70.38,90.04,112.82,127.3,104.54,125.23,104.54,69.34,59.0,51.75,44.5,23.8,22.77
E01015362,"Bournemouth, Christchurch and Poole 026D",NHS Dorset Integrated Care Board,1214.05,69.34,81.76,84.87,77.62,83.84,53.82,64.17,78.66,77.62,92.12,100.4,125.23,77.62,48.64,42.43,20.7,20.7,14.49
E01015292,"Bournemouth, Christchurch and Poole 025A",NHS Dorset Integrated Care Board,1957.18,122.13,149.04,116.95,109.71,182.16,131.44,152.14,176.98,156.28,133.51,131.44,111.78,92.12,70.38,56.92,25.87,23.8,14.49
E01015318,"Bournemouth, Christchurch and Poole 020C",NHS Dorset Integrated Care Board,1824.7,109.71,127.3,103.5,95.22,110.74,103.5,136.62,140.76,153.18,142.83,106.6,126.27,83.84,74.52,78.66,55.89,42.43,33.12
E01015317,"Bournemouth, Christchurch and Poole 026B",NHS Dorset Integrated Care Board,1734.66,97.29,109.71,94.18,96.26,61.06,71.41,103.5,117.99,152.14,121.09,148.0,116.95,104.54,96.26,101.43,59.0,45.54,38.29
E01015314,"Bournemouth, Christchurch and Poole 020A",NHS Dorset Integrated Care Board,1610.46,63.14,102.46,102.46,96.26,61.06,56.92,60.03,101.43,125.23,110.74,127.3,114.88,113.85,97.29,100.4,79.69,46.58,50.72
E01015315,"Bournemouth, Christchurch and Poole 020B",NHS Dorset Integrated Care Board,1965.46,80.73,137.66,140.76,107.64,54.86,56.92,68.31,132.48,133.51,123.16,148.0,159.39,123.16,132.48,160.42,90.04,59.0,56.92
E01015329,"Bournemouth, Christchurch and Poole 025E",NHS Dorset Integrated Care Board,1747.08,107.64,97.29,97.29,85.9,171.81,143.86,144.9,145.94,132.48,113.85,117.99,108.68,67.27,71.41,59.0,42.43,23.8,15.52
E01015316,"Bournemouth, Christchurch and Poole 026A",NHS Dorset Integrated Care Board,1710.85,62.1,97.29,93.15,91.08,70.38,64.17,66.24,99.36,102.46,128.34,116.95,123.16,122.13,111.78,133.51,94.18,65.2,69.34
E01015331,"Bournemouth, Christchurch and Poole 027B",NHS Dorset Integrated Care Board,2494.35,188.37,154.21,135.58,114.88,247.36,238.05,243.22,276.34,191.48,149.04,122.13,101.43,90.04,76.59,57.96,37.26,30.01,40.36
E01015346,"Bournemouth, Christchurch and Poole 028B",NHS Dorset Integrated Care Board,1676.7,70.38,94.18,86.94,63.14,227.7,109.71,106.6,107.64,101.43,112.82,107.64,109.71,110.74,65.2,68.31,55.89,33.12,45.54
E01015348,"Bournemouth, Christchurch and Poole 028C",NHS Dorset Integrated Care Board,1920.96,46.58,80.73,91.08,86.94,221.49,109.71,89.01,95.22,102.46,105.57,105.57,129.38,120.06,119.02,142.83,110.74,73.48,91.08
E01015388,"Bournemouth, Christchurch and Poole 029C",NHS Dorset Integrated Care Board,1528.7,63.14,69.34,85.9,185.26,191.48,67.27,55.89,73.48,92.12,77.62,91.08,113.85,80.73,72.45,75.55,55.89,37.26,40.36
E01015387,"Bournemouth, Christchurch and Poole 029B",NHS Dorset Integrated Care Board,1576.3,95.22,100.4,72.45,65.2,59.0,81.76,107.64,121.09,112.82,79.69,114.88,96.26,101.43,104.54,92.12,76.59,55.89,39.33
E01015376,"Bournemouth, Christchurch and Poole 027D",NHS Dorset Integrated Care Board,1907.5,82.8,116.95,67.27,124.2,539.24,130.41,140.76,117.99,104.54,98.32,91.08,71.41,53.82,56.92,43.47,24.84,23.8,19.66
E01015330,"Bournemouth, Christchurch and Poole 017B",NHS Dorset Integrated Care Board,1957.18,93.15,123.16,133.51,108.68,78.66,92.12,89.01,131.44,131.44,162.49,141.79,127.3,115.92,94.18,109.71,83.84,57.96,82.8
E01015375,"Bournemouth, Christchurch and Poole 015D",NHS Dorset Integrated Care Board,2209.72,85.9,99.36,90.04,153.18,716.22,172.84,126.27,140.76,134.55,92.12,91.08,69.34,66.24,49.68,39.33,31.05,27.94,23.8
E01015373,"Bournemouth, Christchurch and Poole 017D",NHS Dorset Integrated Care Board,1818.5,83.84,124.2,89.01,101.43,291.87,137.66,150.07,146.97,135.58,115.92,119.02,104.54,77.62,47.61,46.58,20.7,14.49,11.38
E01015378,"Bournemouth, Christchurch and Poole 017E",NHS Dorset Integrated Care Board,1886.8,86.94,130.41,124.2,132.48,338.44,108.68,121.09,120.06,130.41,129.38,101.43,86.94,77.62,71.41,61.06,25.87,20.7,19.66
E01015382,"Bournemouth, Christchurch and Poole 022C",NHS Dorset Integrated Care Board,2027.56,173.88,165.6,131.44,95.22,108.68,179.05,197.68,165.6,123.16,137.66,131.44,116.95,111.78,60.03,51.75,31.05,33.12,13.45
E01015384,"Bournemouth, Christchurch and Poole 022E",NHS Dorset Integrated Care Board,1701.54,105.57,157.32,184.23,162.49,125.23,83.84,125.23,128.34,123.16,104.54,120.06,110.74,57.96,32.08,33.12,17.6,18.63,11.38
E01015442,"Bournemouth, Christchurch and Poole 023D",NHS Dorset Integrated Care Board,2110.36,133.51,152.14,157.32,114.88,116.95,133.51,159.39,142.83,124.2,129.38,128.34,130.41,108.68,96.26,100.4,86.94,46.58,48.64
E01015408,"Bournemouth, Christchurch and Poole 016B",NHS Dorset Integrated Care Board,1813.32,120.06,127.3,137.66,96.26,49.68,81.76,158.35,150.07,125.23,104.54,109.71,85.9,89.01,79.69,92.12,97.29,61.06,47.61
E01015443,"Bournemouth, Christchurch and Poole 023E",NHS Dorset Integrated Care Board,2049.3,119.02,123.16,111.78,95.22,128.34,140.76,169.74,181.12,125.23,114.88,135.58,144.9,79.69,95.22,105.57,79.69,59.0,40.36
E01015383,"Bournemouth, Christchurch and Poole 022D",NHS Dorset Integrated Care Board,1528.7,45.54,46.58,45.54,47.61,119.02,69.34,74.52,75.55,72.45,81.76,105.57,101.43,120.06,128.34,123.16,97.29,79.69,95.22
