LSOA21CD,LSOA21NM,IMD_Rank,LAD22NM,Urban_rural_flag,ICB23NM
E01015057,Plymouth 021C,2491.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015056,Plymouth 021B,9261.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015100,Plymouth 017C,19897.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015111,Plymouth 018C,24087.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020162,South Hams 005B,28871.0,South Hams,Urban,NHS Devon Integrated Care Board
E01015038,Plymouth 016D,24499.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020164,South Hams 005D,21980.0,South Hams,Urban,NHS Devon Integrated Care Board
E01020165,South Hams 005E,31264.0,South Hams,Urban,NHS Devon Integrated Care Board
E01015055,Plymouth 021A,3640.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015110,Plymouth 018B,27975.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015058,Plymouth 012C,3145.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020167,South Hams 005G,32466.0,South Hams,Urban,NHS Devon Integrated Care Board
E01015168,Plymouth 020D,6381.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015106,Plymouth 013E,19252.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015041,Plymouth 014C,6928.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015072,Plymouth 013A,4047.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015040,Plymouth 014B,2142.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015104,Plymouth 011E,24458.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015039,Plymouth 014A,15850.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015098,Plymouth 017A,24268.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015037,Plymouth 012B,12391.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015034,Plymouth 016B,25044.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015123,Plymouth 015C,17366.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015124,Plymouth 015D,26098.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015105,Plymouth 017E,26831.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015063,Plymouth 010A,7259.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015036,Plymouth 016C,25554.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015119,Plymouth 018D,25498.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015122,Plymouth 019E,23593.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015187,Torbay 017E,20676.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015189,Torbay 017G,9051.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015188,Torbay 017F,15849.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015199,Torbay 016C,26577.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020143,South Hams 006B,17780.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015197,Torbay 016A,27353.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015200,Torbay 016D,17927.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015198,Torbay 016B,22217.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015223,Torbay 015E,22894.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015222,Torbay 015D,21224.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015035,Plymouth 012A,22499.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015102,Plymouth 011D,19019.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015103,Plymouth 017D,19730.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015118,Plymouth 019D,25407.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015121,Plymouth 015B,28116.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015101,Plymouth 016E,28553.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015033,Plymouth 016A,27321.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015069,Plymouth 010C,9316.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015125,Plymouth 015E,23360.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015095,Plymouth 010D,9503.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015078,Plymouth 013C,1070.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015080,Plymouth 013D,1590.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015079,Plymouth 011C,15722.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015145,Plymouth 014E,1049.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015075,Plymouth 014D,4251.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015076,Plymouth 009A,13822.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015146,Plymouth 009E,3208.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015074,Plymouth 011A,4167.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015073,Plymouth 013B,5323.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015143,Plymouth 009C,7918.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015144,Plymouth 009D,2943.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015142,Plymouth 009B,10054.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015066,Plymouth 012D,19417.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015077,Plymouth 011B,12551.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015120,Plymouth 015A,23868.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015067,Plymouth 012E,24000.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015068,Plymouth 010B,22105.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015096,Plymouth 010E,7282.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020149,South Hams 001D,12742.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015065,Plymouth 008C,17468.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015064,Plymouth 008B,25995.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015071,Plymouth 008D,11846.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015149,Plymouth 009F,1379.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015150,Plymouth 009G,8265.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015081,Plymouth 007C,5407.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015148,Plymouth 006E,9308.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015147,Plymouth 006D,11978.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015087,Plymouth 006B,2656.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015089,Plymouth 007E,9252.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015088,Plymouth 006C,1955.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015070,Plymouth 007B,14155.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015094,Plymouth 005E,8646.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015091,Plymouth 005B,16370.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015086,Plymouth 007D,2712.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015029,Plymouth 008A,13224.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015093,Plymouth 005D,8688.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020176,South Hams 002D,22004.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015092,Plymouth 005C,13508.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015030,Plymouth 007A,2190.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015090,Plymouth 005A,24039.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01034172,Torbay 013I,,Torbay,Urban,NHS Devon Integrated Care Board
E01020184,South Hams 003E,14439.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015221,Torbay 015C,11816.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015220,Torbay 015B,17447.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015271,Torbay 010E,25509.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015219,Torbay 015A,8280.0,Torbay,Urban,NHS Devon Integrated Care Board
E01034171,Torbay 013H,,Torbay,Urban,NHS Devon Integrated Care Board
E01015234,Torbay 014E,6356.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020181,South Hams 003B,17792.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015235,Torbay 014F,9148.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020177,South Hams 002E,14792.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015023,Plymouth 003A,3025.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015027,Plymouth 002A,18462.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020160,South Hams 002C,19328.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015025,Plymouth 001A,28304.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015162,Plymouth 002D,6557.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015097,Plymouth 001B,23700.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015163,Plymouth 003D,11823.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015161,Plymouth 002C,7989.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015159,Plymouth 002B,7839.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015085,Plymouth 006A,7883.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015083,Plymouth 004C,2077.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015084,Plymouth 004D,8751.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015028,Plymouth 003C,2063.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015026,Plymouth 003B,3064.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015082,Plymouth 004B,4257.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015233,Torbay 014D,2532.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020183,South Hams 003D,15080.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020182,South Hams 003C,15986.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020156,South Hams 004B,23237.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015194,Torbay 013E,6414.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015206,Torbay 012E,7695.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020180,South Hams 003A,12624.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015205,Torbay 012D,14765.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015232,Torbay 014C,2210.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015190,Torbay 013A,6640.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015024,Plymouth 004A,12627.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015165,Plymouth 003E,22338.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015231,Torbay 014B,198.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015192,Torbay 013C,6574.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015204,Torbay 012C,8386.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015193,Torbay 013D,8794.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015202,Torbay 012A,16987.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015229,Torbay 014A,8910.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015196,Torbay 013G,1075.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015191,Torbay 013B,17574.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015203,Torbay 012B,21635.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020150,South Hams 006C,18269.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015160,Plymouth 001C,30460.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020144,South Hams 001A,32026.0,South Hams,Urban,NHS Devon Integrated Care Board
E01020146,South Hams 001C,29187.0,South Hams,Urban,NHS Devon Integrated Care Board
E01015166,Plymouth 002E,6711.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01015164,Plymouth 001D,13032.0,Plymouth,Urban,NHS Devon Integrated Care Board
E01020148,South Hams 002A,16115.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020145,South Hams 001B,21050.0,South Hams,Urban,NHS Devon Integrated Care Board
E01020199,Teignbridge 017E,15035.0,Teignbridge,Rural,NHS Devon Integrated Care Board
E01020316,West Devon 007D,26608.0,West Devon,Rural,NHS Devon Integrated Care Board
E01020198,Teignbridge 017D,10227.0,Teignbridge,Rural,NHS Devon Integrated Care Board
E01015227,Torbay 011D,25465.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015228,Torbay 011E,6773.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015225,Torbay 011B,16745.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015224,Torbay 011A,18450.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015226,Torbay 011C,20933.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015230,Torbay 011F,23105.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015208,Torbay 019F,30108.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015267,Torbay 010A,1702.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015268,Torbay 010B,9868.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015256,Torbay 008C,590.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015209,Torbay 019A,9751.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020170,South Hams 004C,24674.0,South Hams,Rural,NHS Devon Integrated Care Board
E01015270,Torbay 010D,7146.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015255,Torbay 008B,714.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015217,Torbay 008A,736.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015207,Torbay 019E,15246.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015261,Torbay 008D,2972.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015212,Torbay 019C,7587.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015214,Torbay 006A,2457.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015213,Torbay 019D,12830.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015215,Torbay 006B,13440.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015216,Torbay 006C,5665.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015269,Torbay 010C,12122.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015260,Torbay 004D,1360.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015210,Torbay 019B,5885.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015211,Torbay 019G,22071.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015218,Torbay 006D,6743.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015243,Torbay 005D,16900.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015241,Torbay 005B,10261.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015240,Torbay 005A,6657.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015258,Torbay 004B,12137.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015242,Torbay 005C,6458.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015259,Torbay 004C,6297.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015249,Torbay 003A,8114.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015251,Torbay 003C,24494.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015257,Torbay 004A,1026.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015239,Torbay 002D,5045.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015237,Torbay 002B,14857.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015254,Torbay 003F,19720.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015250,Torbay 003B,19610.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015238,Torbay 002C,10152.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020239,Teignbridge 019D,28592.0,Teignbridge,Rural,NHS Devon Integrated Care Board
E01015263,Torbay 001B,1839.0,Torbay,Urban,NHS Devon Integrated Care Board
E01034170,Torbay 003H,,Torbay,Urban,NHS Devon Integrated Care Board
E01020238,Teignbridge 019C,27439.0,Teignbridge,Rural,NHS Devon Integrated Care Board
E01015253,Torbay 003E,20560.0,Torbay,Urban,NHS Devon Integrated Care Board
E01015262,Torbay 001A,5643.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020248,Teignbridge 018C,28067.0,Teignbridge,Urban,NHS Devon Integrated Care Board
E01015266,Torbay 001E,1442.0,Torbay,Urban,NHS Devon Integrated Care Board
E01034169,Torbay 003G,,Torbay,Urban,NHS Devon Integrated Care Board
E01020313,West Devon 007B,9941.0,West Devon,Rural,NHS Devon Integrated Care Board
E01015265,Torbay 001D,10655.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020193,Teignbridge 019B,20819.0,Teignbridge,Rural,NHS Devon Integrated Care Board
E01015236,Torbay 002A,11715.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020247,Teignbridge 018B,14614.0,Teignbridge,Urban,NHS Devon Integrated Care Board
E01015264,Torbay 001C,20458.0,Torbay,Urban,NHS Devon Integrated Care Board
E01020192,Teignbridge 019A,29472.0,Teignbridge,Rural,NHS Devon Integrated Care Board
E01020249,Teignbridge 018D,24901.0,Teignbridge,Urban,NHS Devon Integrated Care Board
E01020191,Teignbridge 013A,16006.0,Teignbridge,Rural,NHS Devon Integrated Care Board
E01020246,Teignbridge 018A,17729.0,Teignbridge,Urban,NHS Devon Integrated Care Board
E01020227,Teignbridge 015D,19965.0,Teignbridge,Urban,NHS Devon Integrated Care Board
E01020157,South Hams 002B,13244.0,South Hams,Rural,NHS Devon Integrated Care Board
E01020315,West Devon 007C,18080.0,West Devon,Rural,NHS Devon Integrated Care Board
E01020317,West Devon 006A,20801.0,West Devon,Rural,NHS Devon Integrated Care Board
E01020342,West Devon 006D,15876.0,West Devon,Rural,NHS Devon Integrated Care Board
E01020197,Teignbridge 017C,24517.0,Teignbridge,Rural,NHS Devon Integrated Care Board
E01020341,West Devon 006C,21095.0,West Devon,Rural,NHS Devon Integrated Care Board
