Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,postcode,latitude,longitude,lsoa21cd,msoa21cd,oa21cd,icb_code,local_authority
RJ801,St Austell Community Hospital,St. Austell Community Hospital,Porthpean Road,,St. Austell,Cornwall,PL26 6AD,Community hospital,QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,PL266AD,-4.772362659,50.32787747,E01019067,E02003964,E00096347,E54000036,E06000052
RJ867,Stratton Hospital,Stratton Hospital,Hospital Road,,Bude,Cornwall,EX23 9BR,Community hospital (with inpatient beds),QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,EX239BR,-4.517539423,50.83074465,E01018960,E02003931,E00095743,E54000036,E06000052
RJ842,Falmouth Hospital,Falmouth Hospital,Trescobeas Road,,Falmouth,Cornwall,TR11 2JA,Community hospital (with inpatient beds),QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,TR112JA,-5.086141529,50.15568425,E01018859,E02003917,E00095218,E54000036,E06000052
RJ805,Helston Hospital,Helston Community Hospital,Meneage Road,,Helston,Cornwall,TR13 8DR,Community hospital (with inpatient beds),QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,TR138DR,-5.264876457,50.09195716,E01018886,E02003928,E00172813,E54000036,E06000052
RJ870,Launceston Hospital,Launceston Hospital,Link Road,,Launceston,Cornwall,PL15 9JD,Community hospital (with inpatient beds),QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,PL159JD,-4.35977399,50.62838335,E01034848,E02003935,E00095693,E54000036,E06000052
RJ8A3,Liskeard Community Hospital,Clemo Road,,,Liskeard,Cornwall,PL14 3XD,Community hospital (with inpatient beds),QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,PL143XD,-4.450981249,50.46158469,E01034850,E02003895,E00182787,E54000036,E06000052
RJ807,Newquay Hospital,St Thomas Road,,,Newquay,Cornwall,TR7 1RQ,Community hospital (with inpatient beds),QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,TR71RQ,-5.074210028,50.41105664,E01019020,E02003955,E00096106,E54000036,E06000052
RJ817,Camborne Redruth Community Hospital,Camborne Redruth Community Hospital,Barncoose Terrace,,Redruth,Cornwall,TR15 3ER,Community hospital (with inpatient beds),QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,TR153ER,-5.24437566,50.22938149,E01018895,E02003922,E00095417,E54000036,E06000052
RJ809,St Mary's Hospital ,Belmont,,,St. Marys,Isles of Scilly,TR21 0LE,Community hospital (with inpatient beds),QT6,NHS Cornwall and Isles of Scilly Integrated Care Board,TR210LE,-6.309288333,49.91305234,E01019077,E02006781,E00096404,E54000036,E06000053
RH8D6,Exeter Community Hospital,Hospital Lane,,,Exeter,Devon,EX1 3RB,Community hospital,QJK,NHS Devon Integrated Care Board,EX13RB,-3.484154111,50.73097638,E01020037,E02004155,E00101424,E54000037,E07000041
RH802,Heavitree Hospital,Gladstone Road,,,Exeter,Devon,EX1 2ED,Community Hospital,QJK,NHS Devon Integrated Care Board,EX12ED,-3.514177943,50.72475359,E01019995,E02004156,E00101211,E54000037,E07000041
RWV98,Franklyn Community Hospital,Franklyn Drive,,,Exeter,Devon,EX2 9HS,Community hospital,QJK,NHS Devon Integrated Care Board,EX29HS,-3.549417716,50.71241028,E01019977,E02004160,E00101116,E54000037,E07000041
L4Q0V,Whipton Hospital,Rowans,Whipton Hospital,Hospital Lane,Exeter,Devon,EX1 3RB,Community hospital,QJK,NHS Devon Integrated Care Board,EX13RB,-3.484154111,50.73097638,E01020037,E02004155,E00101424,E54000037,E07000041
RA952,Ashburton and Buckfastleigh Hospital,9-15 Eastern Road,Ashburton,,Newton Abbot,Devon,TQ13 7AP,Community hospital ,QJK,NHS Devon Integrated Care Board,TQ137AP,-3.748594532,50.51905261,E01020196,E02004217,E00102305,E54000037,E07000045
RWV0B,Crediton Hospital,Western Road,,,Crediton,Devon,EX17 3NH,Community hospital ,QJK,NHS Devon Integrated Care Board,EX173NH,-3.674125878,50.7923725,E01020061,E02004174,E00101571,E54000037,E07000042
A2A2M,Ilfracombe Hospital,St. Brannocks Park Road,,,Ilfracombe,Devon,EX34 8JF,Community hospital ,QJK,NHS Devon Integrated Care Board,EX348JF,-4.124420481,51.20451365,E01020116,E02004177,E00101877,E54000037,E07000043
RH8E6,Okehampton ,Okehampton Hospital,Cavell Way,,Okehampton,Devon,EX20 1PN,Community hospital ,QJK,NHS Devon Integrated Care Board,EX201PN,-3.997201474,50.74191316,E01020327,E02004230,E00102989,E54000037,E07000047
RA9YB,Ottery St. Mary Community Hospital,Ottery St. Mary Hospital,Keegan Close,,Ottery St. Mary,Devon,EX11 1DN,Community hospital ,QJK,NHS Devon Integrated Care Board,EX111DN,-3.291574365,50.75011335,E01019942,E02004136,E00180259,E54000037,E07000040
RH8G5,Teignmouth Hospital,Mill Lane,,,Teignmouth,Devon,TQ14 9BQ,Community hospital ,QJK,NHS Devon Integrated Care Board,TQ149BQ,-3.51115891,50.54836905,E01020272,E02004210,E00102682,E54000037,E07000045
K6V4F,Torrington Hospital,Calf Street,,,Torrington,Devon,EX38 7BJ,Community hospital ,QJK,NHS Devon Integrated Care Board,EX387BJ,-4.136969463,50.95472642,E01020307,E02004225,E00102862,E54000037,E07000046
T3E8P,Bideford Community Hospital,Abbotsham Road,,,Bideford,Devon,EX39 3AG,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,EX393AG,-4.212758557,51.01781678,E01020280,E02004222,E00102732,E54000037,E07000046
RA954,Brixham Hospital,Greenswood Road,,,Brixham,Devon,TQ5 9HW,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,TQ59HW,-3.513823246,50.38944354,E01015247,E02003171,E00077043,E54000037,E06000027
RA956,Dawlish Hospital,Barton Terrace,,,Dawlish,Devon,EX7 9DH,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,EX79DH,-3.474787592,50.58058251,E01020235,E02004206,E00102483,E54000037,E07000045
RH858,Exmouth Hospital,Claremont Grove,,,Exmouth,Devon,EX8 2JN,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,EX82JN,-3.401608055,50.62054462,E01019912,E02004148,E00100780,E54000037,E07000040
RH854,Honiton Hospital,Marlpits Lane,,,Honiton,Devon,EX14 2DE,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,EX142DE,-3.18657657,50.79492616,E01019934,E02004130,E00100889,E54000037,E07000040
RK901,Mount Gould Hospital,Mount Gould Road,,,Plymouth,Devon,PL4 7QD,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,PL47QD,-4.112753531,50.37839411,E01015176,E02003142,E00076712,E54000037,E06000026
RA957,Newton Abbot Community Hospital,Jetty Marsh Road,,,Newton Abbot,Devon,TQ12 2TS,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,TQ122TS,-3.612255131,50.5393592,E01020219,E02004212,E00165895,E54000037,E07000045
RH8F3,Sidmouth ,Victoria Cottage Hospital,,,Sidmouth,Devon,EX10 8EW,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,EX108EW,-3.239655197,50.68161004,E01019956,E02004140,E00101028,E54000037,E07000040
RK935,South Hams Hospital,Plymouth Road,,,Kingsbridge,Devon,TQ7 1AT,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,TQ71AT,-3.778825619,50.28870854,E01020169,E02004198,E00102145,E54000037,E07000044
RH837,South Molton Hospital,Widgery Drive,,,South Molton,Devon,EX36 4DP,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,EX364DP,-3.83943593,51.01701752,E01020136,E02004187,E00101965,E54000037,E07000043
RK922,Tavistock Hospital,Spring Hill,,,Tavistock,Devon,PL19 8LD,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,PL198LD,-4.153575715,50.54717808,E01020334,E02004233,E00103026,E54000037,E07000047
RH853,Tiverton and District Hospital,Kennedy Way,,,Tiverton,Devon,EX16 6NT,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,EX166NT,-3.492966539,50.90940443,E01020048,E02004168,E00101491,E54000037,E07000042
RA979,Totnes Hospital,Coronation Road,,,Totnes,Devon,TQ9 5GH,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,TQ95GH,-3.684189001,50.43277173,E01020183,E02004191,E00102232,E54000037,E07000044
RH859,Victoria Hospital (Sidmouth),General Hospital,,,Sidmouth,Devon,EX10 8EW,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,EX108EW,-3.239655197,50.68161004,E01019956,E02004140,E00101028,E54000037,E07000040
RH8D2,Derriford Teaching Hospital,Derriford Road,Derriford,,Plymouth,Devon,PL6 8DH,Community hospital ,QJK,NHS Devon Integrated Care Board,PL68DH,-4.113684475,50.41671995,E01015092,E02003126,E00181102,E54000037,E06000026
RH8D4,Moretonhampstead Hospital,Ford Street,Moretonhampstead,,Newton Abbot,Devon,TQ13 8LN,Community hospital ,QJK,NHS Devon Integrated Care Board,TQ138LN,-3.765964242,50.66148435,E01020258,E02004203,E00102608,E54000037,E07000045
RA9YG,Holsworthy Hospital,Dobles Lane,,,Holsworthy,Devon,EX22 6JQ,Community hospital (with inpatient beds),QJK,NHS Devon Integrated Care Board,EX226JQ,-4.349661225,50.8183197,E01020293,E02004227,E00102804,E54000037,E07000046
RDY01,Boscombe Community Hospital,11 Shelley Road,,,Bournemouth,Dorset,BH1 4JQ,Community hospital,QVV,NHS Dorset Integrated Care Board,BH14JQ,-1.841473394,50.72926596,E01015281,E02003190,E00077233,E54000041,E06000058
RDYX4,Kings Park Community Hospital,Kings Park Community Hospital,Gloucester Road,,Bournemouth,Dorset,BH7 6JF,Community hospital,QVV,NHS Dorset Integrated Care Board,BH76JF,-1.833360779,50.73159276,E01015314,E02003182,E00077437,E54000041,E06000058
R0D0L,St Leonards Hospital,241 Ringwood Road,,,Ringwood,Dorset,BH24 2RR,Community hospital,QVV,NHS Dorset Integrated Care Board,BH242RR,-1.856577862,50.81726003,E01020405,E02004246,E00183086,E54000041,E06000059
RDYFD,Wareham Community Hospital,Wareham Hospital,,,Wareham,Dorset,BH20 4QQ,Community hospital,QVV,NHS Dorset Integrated Care Board,BH204QQ,-2.116746639,50.68698604,E01020486,E02004265,E00103861,E54000041,E06000059
RBD05,Weymouth Community Hospital,3 Melcombe Avenue,,,Weymouth,Dorset,DT4 7TB,Community hospital,QVV,NHS Dorset Integrated Care Board,DT47TB,-2.451011651,50.6210362,E01020556,E02004284,E00104254,E54000041,E06000059
RDYFQ,Weymouth Community Hospital,3 Melcombe Avenue,,,Weymouth,Dorset,DT4 7TB,Community hospital,QVV,NHS Dorset Integrated Care Board,DT47TB,-2.451011651,50.6210362,E01020556,E02004284,E00104254,E54000041,E06000059
RDY0G,Alderney Community Hospital,Alderney Community Hospital,Ringwood Road,,Poole,Dorset,BH12 4NB,Community hospital (with inpatient beds),QVV,NHS Dorset Integrated Care Board,BH124NB,-1.940981394,50.74970891,E01015379,E02003195,E00077785,E54000041,E06000058
RDYER,Blandford Community Hospital,Milldown Road,,,Blandford Forum,Dorset,DT11 7DD,Community hospital (with inpatient beds),QVV,NHS Dorset Integrated Care Board,DT117DD,-2.167983973,50.86307027,E01020438,E02004261,E00103573,E54000041,E06000059
RDYEJ,Bridport Community Hospital,Hospital Lane,,,Bridport,Dorset,DT6 5DR,Community hospital (with inpatient beds),QVV,NHS Dorset Integrated Care Board,DT65DR,-2.769927983,50.74160489,E01020536,E02004275,E00104144,E54000041,E06000059
R0D03,Christchurch Hospital,Fairmile Road,,,Christchurch,Dorset,BH23 2JX,Community hospital (with inpatient beds),QVV,NHS Dorset Integrated Care Board,BH232JX,-1.790155025,50.74516497,E01020359,E02004237,E00103166,E54000041,E06000058
RDYFF,Swanage Communtiy Hospital,Queens Road,,,Swanage,Dorset,BH19 2ES,Community hospital (with inpatient beds),QVV,NHS Dorset Integrated Care Board,BH192ES,-1.961213428,50.6055098,E01020482,E02004268,E00103848,E54000041,E06000059
RDYFE,Victoria Hospital W'Borne,Victoria Road,,,Wimborne,Dorset,BH21 1ER,Community hospital (with inpatient beds),QVV,NHS Dorset Integrated Care Board,BH211ER,-1.99591805,50.80219537,E01020428,E02004252,E00103521,E54000041,E06000059
RDYEG,Westhaven Hospital,Radipole Lane,,,Weymouth,Dorset,DT4 0QE,Community hospital (with inpatient beds),QVV,NHS Dorset Integrated Care Board,DT40QE,-2.479943378,50.61502122,E01020578,E02004285,E00104381,E54000041,E06000059
RDYEY,Westminster Memorial Hospital,Abbey Walk,,,Shaftesbury,Dorset,SP7 8BD,Community hospital (with inpatient beds),QVV,NHS Dorset Integrated Care Board,SP78BD,-2.20015004,51.00472094,E01020454,E02004257,E00103672,E54000041,E06000059
RTQ84,Delancey Hospital,Charlton Lane,,,Cheltenham,Gloucestershire,GL53 9DT,Community hospital ,QR1,NHS Gloucestershire Integrated Care Board,GL539DT,-2.076378404,51.87830744,E01022129,E02004614,E00112453,E54000043,E07000078
RTQ21,Cirencester Hospital,Tetbury Road,,,Cirencester,Gloucestershire,GL7 1UY,Community hospital (with inpatient beds),QR1,NHS Gloucestershire Integrated Care Board,GL71UY,-1.97563704,51.71210416,E01022194,E02004621,E00112793,E54000043,E07000079
A2E6W,Fairford Hospital,The Croft,TheCroft,,Fairford,Gloucestershire,GL7 4BB,Community hospital (with inpatient beds),QR1,NHS Gloucestershire Integrated Care Board,GL74BB,-1.778180841,51.70811249,E01022204,E02004623,E00112844,E54000043,E07000079
U4O3U,Forest of Dean Community Hospital,Steam Mills Road,,,Cinderford,Gloucestershire,GL14 3HY,Community hospital (with inpatient beds),QR1,NHS Gloucestershire Integrated Care Board,GL143HY,-2.508313649,51.83283581,E01022240,E02004629,E00113046,E54000043,E07000080
RTQ19,Lydney Hospital,Grove Road,,,Lydney,Gloucestershire,GL15 5JE,Community hospital (with inpatient beds),QR1,NHS Gloucestershire Integrated Care Board,GL155JE,-2.536896318,51.72731479,E01022227,E02004634,E00112981,E54000043,E07000080
RTQ29,North Cotswold Hospital,Stow Road,,,Moreton-in-Marsh,Gloucestershire,GL56 0DS,Community hospital (with inpatient beds),QR1,NHS Gloucestershire Integrated Care Board,GL560DS,-1.705957052,51.98355397,E01034782,E02004616,E00112887,E54000043,E07000079
RTQ04,Stroud General Hospital,Trinity Road,,,Stroud,Gloucestershire,GL5 2HY,Community hospital (with inpatient beds),QR1,NHS Gloucestershire Integrated Care Board,GL52HY,-2.208135823,51.74302214,E01022410,E02004656,E00113918,E54000043,E07000082
RTQ87,Tewkesbury General Hospital,Barton Road,,,Tewkesbury,Gloucestershire,GL20 5QN,Community hospital (with inpatient beds),QR1,NHS Gloucestershire Integrated Care Board,GL205QN,-2.152477867,51.99214672,E01022459,E02004667,E00114196,E54000043,E07000083
RTQ42,Vale Community Hospital,Lister Road,,,Dursley,Gloucestershire,GL11 4BA,Community hospital (with inpatient beds),QR1,NHS Gloucestershire Integrated Care Board,GL114BA,-2.353365878,51.68804455,E01022372,E02004664,E00186370,E54000043,E07000082
RH5D2,Taunton Adult,Foundation House,Wellsprings Road,,Taunton,Somerset,TA2 7PQ,Community hospital,QSL,NHS Somerset Integrated Care Board,TA27PQ,-3.102374129,51.0318561,E01029304,E02006102,E00149302,E54000038,E06000066
RH5F1,Wellington & District Cottage Hospital,Bulford,,,Wellington,Somerset,TA21 8QQ,Community hospital,QSL,NHS Somerset Integrated Care Board,TA218QQ,-3.227412929,50.97667134,E01029316,E02006110,E00149367,E54000038,E06000066
RH5F5,Minehead Community Hospital,Luttrell Way,,,Minehead,Somerset,TA24 6DF,Community hospital,QSL,NHS Somerset Integrated Care Board,TA246DF,-3.461897606,51.2001111,E01029322,E02006114,E00166047,E54000038,E06000066
RH5F7,Shepton Mallet Community Hospital,Old Wells Road,,,Shepton Mallet,Somerset,BA4 4PG,Community hospital,QSL,NHS Somerset Integrated Care Board,BA44PG,-2.562485666,51.19057492,E01029065,E02006055,E00148040,E54000038,E06000066
RH5G3,Dene Barton Community Unit,Dene Barton,Cotford St. Luke,,Taunton,Somerset,TA4 1DD,Community hospital,QSL,NHS Somerset Integrated Care Board,TA41DD,-3.18221114,51.0375861,E01029260,E02006099,E00149050,E54000038,E06000066
RH5G5,Frome Community Hospital,Enos Way,,,Frome,Somerset,BA11 2FH,Community hospital,QSL,NHS Somerset Integrated Care Board,BA112FH,-2.311568313,51.23731757,E01029034,E02006049,E00147860,E54000038,E06000066
RH5F4,Burnham on Sea War Memorial Hospital,Love Lane,,,Burnham-on-Sea,Somerset,TA8 1ED,Community hospital (with inpatient beds),QSL,NHS Somerset Integrated Care Board,TA81ED,-2.993875307,51.23879844,E01029116,E02006064,E00148281,E54000038,E06000066
RH5F6,Williton Hospital,North Road,Williton,,Taunton,Somerset,TA4 4RA,Community hospital (with inpatient beds),QSL,NHS Somerset Integrated Care Board,TA44RA,-3.323208479,51.16288772,E01029343,E02006116,E00149522,E54000038,E06000066
RH5F8,West Mendip Community Hospital,Old Wells Road,,,Glastonbury,Somerset,BA6 8JD,Community hospital (with inpatient beds),QSL,NHS Somerset Integrated Care Board,BA68JD,-2.699231064,51.16047809,E01032627,E02006057,E00147928,E54000038,E06000066
RH5G1,South Petherton Hospital,Hospital Lane,,,South Petherton,Somerset,TA13 5AR,Community hospital (with inpatient beds),QSL,NHS Somerset Integrated Care Board,TA135AR,-2.800484655,50.95322995,E01029218,E02006084,E00148830,E54000038,E06000066
RH5G2,Wincanton Community Hospital,Dancing Lane,Verrington,,Wincanton,Somerset,BA9 9DQ,Community hospital (with inpatient beds),QSL,NHS Somerset Integrated Care Board,BA99DQ,-2.418168557,51.05875344,E01029227,E02006079,E00148889,E54000038,E06000066
RH5K6,Bridgwater Community Hospital,Bower Lane,,,Bridgwater,Somerset,TA6 4GU,Community hospital (with inpatient beds),QSL,NHS Somerset Integrated Care Board,TA64GU,-2.974124426,51.14056266,E01035115,E02006070,E00186613,E54000038,E06000066
RN3_S001,Shepton Mallet Community Hospital,Bowlish Lane,Old Wells Road,,Shepton Mallet,Somerset,BA4 4LP,Community hospital (with inpatient beds),QSL,NHS Somerset Integrated Care Board,BA44LP,-2.562718726,51.18973754,E01029065,E02006055,E00148040,E54000038,E06000066
RH5F2,Chard Hospital,Crewkerne Road,,,Chard,Somerset,TA20 1NF,Community hospital (with inpatient beds),QSL,NHS Somerset Integrated Care Board,TA201NF,-2.952373049,50.87499602,E01029170,E02006097,E00148592,E54000038,E06000066
RH5F9,Crewkerne Hospital,Middle Path,,,Crewkerne,Somerset,TA18 8BG,Community hospital (with inpatient beds),QSL,NHS Somerset Integrated Care Board,TA188BG,-2.797937382,50.88012002,E01029185,E02006095,E00148665,E54000038,E06000066
